Estudiante           Nota Situacion
-----------------------------------
Martin Soto            47 reprobado
Gabriel Cuellar        39 reprobado
Humberto Espinosa      47 reprobado
Penny Cuoco             5 reprobado
Victor Cifuentes       31 reprobado
Emanuel Perez          41 reprobado
Sheldon Cooper        100 aprobado
Rodrigo Jimenez        51 reprobado
Samuel Zuniga          48 reprobado
Mauricio Gonzalez      48 reprobado
Diego Ruiz             28 reprobado
Lorena Torquemada      53 reprobado
Diego Lorca            54 reprobado
Mauricio Galdames      47 reprobado
Joaquin Ulloa          40 reprobado
Cristobal Benitez      34 reprobado
Felipe Rodriguez       43 reprobado
Gerardo Figueroa       46 reprobado
Roberto Avalos         37 reprobado
Sebastian Diaz         53 reprobado
Sergio Vidal           47 reprobado
Camila Munoz           47 reprobado
Nicolas Urrutia        46 reprobado
Sebastian Acuna        43 reprobado
Pedro Guerrero         43 reprobado
Ariel Lucero           42 reprobado
Felipe Garcia          40 reprobado
Javier Frias           44 reprobado
Joaquin Soto           59 aprobado
Juan Suazo             42 reprobado
Alberto Reyes          55 aprobado
Gonzalo Alarcon        44 reprobado
Sebastian Ahumada      45 reprobado
Jonathan Echeverria    54 reprobado
Francisco Carvallo     39 reprobado
Pablo Liberona         34 reprobado
Ignacio Zambrano       53 reprobado
Eduardo Acevedo        44 reprobado
Antonio Aguirre        51 reprobado
Alejandro Alfaro       51 reprobado
Andres Tudor           48 reprobado
Gabriel Delgado        41 reprobado
Jesus Duran            55 aprobado
Alejandro Espinoza     49 reprobado
David Fernandez        43 reprobado
Alberto Figueroa       42 reprobado
Nicolas Abarca         58 aprobado
Hans Faundez           51 reprobado
Gabriel Gomez          48 reprobado
Gregorio Gonzalez      50 reprobado
Jose Gutierrez         47 reprobado
Ignacio Herrera        53 reprobado
Andres Leiva           51 reprobado
Antonio Lutero         46 reprobado
Romina Vera            49 reprobado
Manuel Martinez        54 reprobado
Alexis Medel           53 reprobado
Belen Miranda          48 reprobado
Andres Morales         51 reprobado
Pablo Munoz            35 reprobado
Edison Munoz           45 reprobado
Ignacio Navarro        61 aprobado
Alejandro Pacheco      53 reprobado
Alonso Pereira         45 reprobado
Ignacio Rosas          58 aprobado
Ignacio Rubio          52 reprobado
Francisco Ruiz         55 aprobado
Alfonso San Martin     47 reprobado
Manuel Toledo          31 reprobado
Jesus Valdes           45 reprobado
Adela Vazquez          40 reprobado
Andres Vega            59 aprobado
Andres Zamorano        53 reprobado
Antonio Almarza        47 reprobado
Jorge Alvarez          42 reprobado
Arturo Andrade         47 reprobado
Jorge Argandona        51 reprobado
Eduardo Astete         46 reprobado
Antonia Avaria         42 reprobado
Felipe Avila           55 aprobado
Aquiles Barriga        50 reprobado
Eduardo Bello          49 reprobado
Carla Benitez          33 reprobado
Hugo Burgos            46 reprobado
Cristobal Borquez      55 aprobado
Juan Bravo             51 reprobado
Diego Cabezas          50 reprobado
Roberto Canepa         50 reprobado
Renzo Carrasco         56 aprobado
Esteban Castillo       57 aprobado
Sebastian Fajardo      46 reprobado
Daniel Fuentealba      31 reprobado
Pamela Fuentes         56 aprobado
Cesar Guarda           58 aprobado
Jose Gonzalez          57 aprobado
Juan Pablo Hernandez   44 reprobado
Luis Herrera           36 reprobado
Patricio Herrera       42 reprobado
Diego Hobbes           47 reprobado
Sebastian Jorquera     49 reprobado
Angelina Jordan        45 reprobado
Mario Kohler           45 reprobado
Mauricio Lillo         57 aprobado
Ignacio Lopez          53 reprobado
Rodrigo Maldonado      53 reprobado
Camila Martinez        47 reprobado
Guillermo Martinez     44 reprobado
Esteban Medel          45 reprobado
Luisa Miranda          45 reprobado
Victor Molina          64 aprobado
Felipe Moreno          36 reprobado
Enrique Munoz          46 reprobado
Jean Paul Munoz        36 reprobado
Cinthia Noemi          38 reprobado
Daniel Navarrete       41 reprobado
Pablo Pantoja          59 aprobado
Gianfranco Basso       45 reprobado
Cesar Campagnano       48 reprobado
Denise Pinto           49 reprobado
Fabian Rivera          36 reprobado
Javier Romero          34 reprobado
Sebastian Ronda        40 reprobado
Cristobal Saavedra     42 reprobado
Jonathan Sepulveda     34 reprobado
Jimmy Zabaleta         48 reprobado
Alejandra Tello        50 reprobado
Andres Ubeda           52 reprobado
Pablo Valdes           43 reprobado
Horacio Vicencio       45 reprobado
Ignacio Vasquez        41 reprobado
Nicolas Vidal          43 reprobado
Pablo Villarroel       47 reprobado
Rolando de la Cuadra   46 reprobado
Ricardo Zambrano       37 reprobado
